state,x,y
Ladakh,-80.0,239.0
Jammu&Kashmir,-134.0,216.0
Himachalpradesh,-92.0,178.0
Punjab,-133.0,158.0
Haryana,-113.0,117.0
Delhi,-97.0,108.0
Uttarakhand,-68.0,146.0
Uttarpradesh,-49.0,79.0
Bihar,51.0,50.0
Sikkim,108.0,92.0
Assam,167.0,62.0
Meghalaya,147.0,43.0
Tripura,163.0,7.0
Mizoram,191.0,-4.0
Manipur,206.0,31.0
Nagaland,218.0,56.0
Arunachalpradesh,220.0,102.0
Rajasthan,-179.0,64.0
Uttarpradesh,-64.0,88.0
Jharkhand,37.0,3.0
Westbengal,95.0,-7.0
Gujarat,-209.0,-20.0
Madhyapradesh,-113.0,-5.0
Chhattisgarh,-21.0,-28.0
Maharashtra,-129.0,-80.0
Odisha,16.0,-57.0
Goa,-153.0,-153.0
Karnataka,-137.0,-166.0
Telangana,-77.0,-108.0
Andrapradesh,-79.0,-160.0
Tamilnadu,-68.0,-230.0
Kerala,-111.0,-244.0
Andaman&Nicobar,186.0,-204.0
Lakshadweep,-182.0,-262.0
Puducherry,-48.0,-217.0
Daman,-199.0,-66.0